Purchase__basketValueGross,Purchase__purchaseType,Purchase__overallBasketSavings,Purchase__storeId,Purchase__paymentType__category,Purchase__paymentType__amount,Purchase__timeStamp,Purchase__basketValueNet,Purchase__says,Purchase__storeName,Purchase__storeFormat,Purchase__product__name,Purchase__product__quantity,Purchase__product__channel,Purchase__product__price
42.25,IN_STORE,,2453.0,,42.25,2021-08-18 15:05:37.766,42.25,,EDINBURGH,SuperStore,Malcolm Allan Steak Lorne Sausage 260G,1.0,IN_STORE,2.0
,,,,,,,,,,,Tesco Watermelon Wedges 550G,1.0,IN_STORE,2.5
,,,,,,,,,,,Tesco Red Organic Onions 535G,1.0,IN_STORE,1.25
,,,,,,,,,,,Grahams Skyr Passion Fruit Mango & Papaya 450G,1.0,IN_STORE,0.99
,,,,,,,,,,,Tesco Balsamic Vinegar Of Modena 250Ml,1.0,IN_STORE,1.0
,,,,,,,,,,,Bells Puff Pastry 212G,1.0,IN_STORE,0.73
,,,,,,,,,,,Mackies Haggis & Cracked Black Pepper Crisps 150G,2.0,IN_STORE,0.99
,,,,,,,,,,,Tesco British Chicken Thigh Fillets 1Kg,1.0,IN_STORE,5.0
,,,,,,,,,,,Highland Spring Sparkling Water 6 X 1L,3.0,IN_STORE,3.0
,,,,,,,,,,,Galbani Italian Burrata Cheese 150G,1.0,IN_STORE,2.5
,,,,,,,,,,,Tesco Strawberries 400G,1.0,IN_STORE,2.0
,,,,,,,,,,,Tesco Unsmoked Lardons 200G,1.0,IN_STORE,2.0
,,,,,,,,,,,Simon Howie Beef Olives 400G,1.0,IN_STORE,3.5
,,,,,,,,,,,Tesco Finest Oyster Mushroom Cluster 150G,1.0,IN_STORE,1.5
,,,,,,,,,,,Tesco Finest Sweet Mini Peppers 220G,1.0,IN_STORE,1.5
,,,,,,,,,,,Tesco Finest King Oyster Mushrooms 150G,1.0,IN_STORE,1.6
,,,,,,,,,,,Counter Smoked Processed Cheese 200G,1.0,IN_STORE,2.2
,,,,,,,,,,,Tesco Wild Rocket 60G,1.0,IN_STORE,1.0
72.84,IN_STORE,3.19,4425.0,,69.65,2021-08-15 15:32:23.107,69.65,,DUNFERMLINE FRE STAON,SuperStore,Nightingale Farms Baby Plum Tomatoes 250G,1.0,IN_STORE,0.65
,,,,,,,,,,,Mothers Pride Plain Medium White Bread 800G,1.0,IN_STORE,1.1
,,,,,,,,,,,Rosedene Farms Raspberries 125G,1.0,IN_STORE,1.24
,,,,,,,,,,,Tesco Radish Pack 240G,1.0,IN_STORE,0.43
,,,,,,,,,,,Mackie Indulgent Madagascan Vanilla 1 Litre,1.0,IN_STORE,3.5
,,,,,,,,,,,T.Ready To Eat Large Avocados Each,1.0,IN_STORE,0.85
,,,,,,,,,,,Mackies Raspberry Ripple Ice Cream 1 Litre,1.0,IN_STORE,3.0
,,,,,,,,,,,Kettle Chips Thai Sweet Chilli 150G,1.0,IN_STORE,1.5
,,,,,,,,,,,Tesco Luxury Soft Toilet Tissue 9 Roll White,1.0,IN_STORE,2.95
,,,,,,,,,,,Rosedene Farms Strawberries 227G,1.0,IN_STORE,1.39
,,,,,,,,,,,Nescafe Dolce Gusto Coconut Flat White Coffee Pods...,1.0,IN_STORE,3.5
,,,,,,,,,,,Tesco Smoked Bacon Medallions 250G,1.0,IN_STORE,2.25
,,,,,,,,,,,Rr Spink & Sons Hot Smoked Salmon 120G,1.0,IN_STORE,4.0
,,,,,,,,,,,Tesco Aubergine Each,1.0,IN_STORE,0.7
,,,,,,,,,,,Highland Game Venison Steaks Whisky Jus 325G,1.0,IN_STORE,6.75
,,,,,,,,,,,Kleinkaroo 2 Ostrich Fillet Steaks 250G,1.0,IN_STORE,5.25
